MYC	SRM	GBE1	FUK	UGP2	PRDX6	ATP6V1A	BCAT1	GLUD1	ATP6V1B2	GGPS1	POLD1	CAD	ALOX5	ASNS	PYCRL	PLCG2	GANAB	SEPHS1	GLUD2
RC-K8	-0.199108055648114	-0.755630441836095	0.298701174301896	1.05725996388311	-0.463348129456133	-0.837804775370974	-0.61367948320572	-0.482842902008979	-1.10143370414534	-0.251763816501242	-0.357388838916857	-0.94882629327074	-0.897503802639205	-1.49855300450516	0.454110594339203	0.0743178600322993	-0.926669403856733	-0.0660851273264202	-2.57676564336121	-0.5750920231711
RI1	-0.798003320209403	-1.02134608035795	-1.00509474813086	-0.692919428332303	-0.653461788845234	-0.718950823801598	0.155354240747699	-1.05663445084037	-1.37833550880285	-0.982243263043044	-0.495574504149656	0.0912121162671866	-2.03202920437347	0.314630611001927	-1.25692017408351	-1.01154348418126	-0.603573339332254	-0.956844946945859	0.116460381485903	-0.743648522603325
SC1	-0.0591636053937624	0.35162558638825	-0.0224211903787662	-0.907063335979873	-1.19255953910246	0.0135668846952274	0.451101732449287	0.223631156221765	-1.77777730309181	0.756877267944187	0.629682822104614	1.13945314187723	-0.375126252468796	0.67598736363146	0.469222339668207	-0.283526868958577	0.595304984797956	1.01359708196798	-1.93695546511258	-0.613776098554399
SU4	2.31592379126244	2.53524429034603	-1.46608560402269	-0.945719366526041	2.87513362525251	1.78969938442021	-0.826504225708329	1.6580287556307	2.7759704169261	2.4847381095272	-2.59260003943172	0.997351846464382	1.71314314643096	1.1744668652679	0.836703227770133	-0.0590702830806206	1.62909949436782	0.788069969229391	0.0439333663830008	2.65877189153266
SU5	-0.396461351910782	0.606799210113201	-0.887872388981618	-0.968714415189278	1.50330708013185	0.165315935988996	0.993322656860159	0.542102988210742	-0.495131500604134	0.547721440817863	0.330422815872113	0.370668539302724	0.626621975101994	0.300863160573963	0.160339172755699	-0.270244043301943	0.838721885078359	0.886616312213536	1.25183076230331	0.18832572578429
SU6	0.264741790899979	0.558764147877329	-0.648948274242986	-0.472392481782591	0.357159862985833	-0.289359449968868	0.624669669710772	0.239885690131619	0.217475256593592	-1.36727733104809	1.0523590445061	0.871053914091943	2.5136424317833	0.633403089917511	1.78201550708589	-0.427118461721979	0.964211141026794	1.22166130867302	-0.308521341343263	1.1024865813946
SU7	-0.398422626904697	-0.321701865963718	0.769583809788201	-0.159900829633322	1.54807060755345	-0.0942298129998716	1.22088320507397	-0.384359931955959	0.826744530101661	0.718509166655011	0.420885691387967	-0.0502959081718905	-1.10578774945583	0.544920706929438	-0.89690439741288	0.824459647060949	0.119884937620496	-0.580966425714881	0.765312930996134	0.118507209084434
SU8	0.361787505906077	-0.3918051707931	0.844318166016935	-0.87742038560152	-0.071038252627751	-0.126175040206289	-0.618759017282897	0.464653385037073	-0.35085772346541	0.97952579850784	0.613007637677729	-0.00260208075886551	0.438725881416955	-1.5000462260772	-0.0105528842193662	-0.933999197480865	-0.881095030972247	0.434314096423425	1.69188850749406	0.297265073557254
SU10	1.04146901714467	0.848013412792257	0.74068242589268	0.398804815208131	0.84047140128445	0.624805238979696	0.983112019831926	1.24779032700025	-0.146083535283617	0.867118142943003	0.524271834834658	1.54289460030051	1.01141851301762	0.511650194376139	1.56210103902477	-0.567003219418412	1.21560526242186	0.689487712854946	-0.749185369583817	0.699579457543552
TOLEDO	0.659720136358795	2.19792533347857	-0.19370977620964	-1.00008821565382	-1.62815649346714	4.78957447460053	-4.05864184085874	1.5925060359133	0.365083587677366	1.55885858077996	5.87650194239288	0.402401944499678	2.50717660231443	-1.67323210212772	-0.377016490165762	5.55593085550514	-2.79320226235628	4.56922024534871	-1.03712658950547	2.50679297425448
